3210010001;3210010; Cipasung
3210010002;3210010; Borogojol
3210010003;3210010; Bangbayang
3210010004;3210010; Cibulan
3210010005;3210010; Lemah Putih
3210010006;3210010; Sadawangi
3210010007;3210010; Margajaya
3210010008;3210010; Kalapadua
3210010009;3210010; Cigaleuh
3210010010;3210010; Mekarmulya
3210010011;3210010; Sinargalih
3210010012;3210010; Padarek
3210010013;3210010; Sukajadi
3210010014;3210010; Kepuh
3210010015;3210010; Mekar Wangi
3210010016;3210010; Sukamaju
3210010017;3210010; Lemahsugih
3210010018;3210010; Dayeuhwangi
3210010019;3210010; Cisalak
3210020009;3210020; Sindanghurip
3210020010;3210020; Cipeundeuy
3210020012;3210020; Cimangguhilir
3210020013;3210020; Salawangi
3210020014;3210020; Silihwangi
3210020015;3210020; Wadowetan
3210020016;3210020; Bantarujeg
3210020017;3210020; Babakansari
3210020018;3210020; Gununglarang
3210020019;3210020; Cikidang
3210020020;3210020; Cinambo
3210020021;3210020; Haurgeulis
3210020022;3210020; Sukamenak
3210021001;3210021; Buninagara
3210021002;3210021; Werasari
3210021003;3210021; Malausma
3210021004;3210021; Banyusari
3210021005;3210021; Jagamulya
3210021006;3210021; Cimuncang
3210021007;3210021; Ciranca
3210021008;3210021; Lebakwangi
3210021009;3210021; Sukadana
3210021010;3210021; Girimukti
3210021011;3210021; Kramatraya
3210030014;3210030; Cisoka
3210030015;3210030; Sindangpanji
3210030016;3210030; Cikijing
3210030017;3210030; Cidulang
3210030018;3210030; Sukamukti
3210030019;3210030; Kasturi
3210030020;3210030; Banjaransari
3210030021;3210030; Sindang
3210030022;3210030; Sukasari
3210030023;3210030; Sunalari
3210030024;3210030; Bagjasari
3210030025;3210030; Jagasari
3210030026;3210030; Cilangcang
3210030027;3210030; Kancana
3210030028;3210030; Cipulus
3210031001;3210031; Sedaraja
3210031002;3210031; Cintaasih
3210031003;3210031; Cidadap
3210031004;3210031; Maniis
3210031005;3210031; Rawa
3210031006;3210031; Nagarakembang
3210031007;3210031; Wangkelang
3210031008;3210031; Cimanggugirang
3210031009;3210031; Ciranjeng
3210031010;3210031; Cingambul
3210031011;3210031; Muktisari
3210031012;3210031; Cikondang
3210031013;3210031; Kondangmekar
3210040001;3210040; Margamukti
3210040002;3210040; Cibeureum
3210040003;3210040; Cikeusal
3210040004;3210040; Jatipamor
3210040005;3210040; Cicanir
3210040006;3210040; Campaga
3210040007;3210040; Lampuyang
3210040008;3210040; Mekarraharja
3210040009;3210040; Talagakulon
3210040010;3210040; Talagawetan
3210040011;3210040; Salado
3210040012;3210040; Argasari
3210040013;3210040; Gunungmanik
3210040014;3210040; Ganeas
3210040015;3210040; Sukaperna
3210040016;3210040; Kertarahayu
3210040017;3210040; Mekarhurip
3210041001;3210041; Genteng
3210041002;3210041; Hegarmanah
3210041003;3210041; Sindangpala
3210041004;3210041; Darmalarang
3210041005;3210041; Suniabaru
3210041006;3210041; Sangiang
3210041007;3210041; Sunia
3210041008;3210041; Kareo
3210041009;3210041; Banjaran
3210041010;3210041; Kagok
3210041011;3210041; Cimeong
3210041012;3210041; Panyindangan
3210041013;3210041; Girimulya
3210050001;3210050; Sagara
3210050002;3210050; Cibunut
3210050003;3210050; Tejamulya
3210050004;3210050; Sukasari Kidul
3210050005;3210050; Sukasari Kaler
3210050006;3210050; Sadasari
3210050007;3210050; Sukadana
3210050008;3210050; Argamukti
3210050009;3210050; Argalingga
3210050010;3210050; Haurseah
3210050011;3210050; Gunungwangi
3210050012;3210050; Mekarwangi
3210050013;3210050; Heubeulisuk
3210050014;3210050; Cikaracak
3210060001;3210060; Cihaur
3210060002;3210060; Wanahayu
3210060003;3210060; Cengal
3210060004;3210060; Anggrawati
3210060005;3210060; Cipicung
3210060006;3210060; Malongpong
3210060007;3210060; Tegalsari
3210060008;3210060; Maja Selatan
3210060009;3210060; Maja Utara
3210060010;3210060; Pasanggrahan
3210060011;3210060; Cieurih
3210060012;3210060; Kertabasuki
3210060013;3210060; Sindangkerta
3210060014;3210060; Banjaran
3210060015;3210060; Paniis
3210060016;3210060; Cicalung
3210060017;3210060; Pageraji
3210060018;3210060; Nunuk Baru
3210070001;3210070; Babakan Jawa
3210070002;3210070; Cibodas
3210070003;3210070; Kulur
3210070004;3210070; Kawunggirang
3210070005;3210070; Sindangkasih
3210070006;3210070; Cicurug
3210070007;3210070; Majalengka Wetan
3210070008;3210070; Tonjong
3210070009;3210070; Tarikolot
3210070010;3210070; Cikasarung
3210070011;3210070; Cijati
3210070012;3210070; Majalengka Kulon
